Basis	Premise	Hypothesis	True Label	New Premise	New Label
Incorrect	Four children playing at a preschool, one looking out the window, one is running, and the other two are playing with wooden blocks.	The children are sad because it is raining.	2	Four children are not playing at a preschool, one is looking out the window, one is running, and the other two are cleaning up wooden blocks.	1
Incorrect	Three children, two boys and one girl, are standing behind bars with their mouths open like they are screaming.	The children scream as a monster jumps out	1	Two men and one woman, are standing behind bars with their mouths open like they are screaming.	2
Incorrect	A woman dressed in a black shirt with purple bikini bottoms is playing volleyball in a fenced in area.	a woman is playing voleyball	0	A woman dressed in a black shirt with purple bikini bottoms is participating in the volleyball match in a fenced in area.	0
Incorrect	Military troops are gathered together and some are using tongs to turn over a variety of food on grill racks over coals.	Troops are marching	2	To turn over a variety of food on grill racks over coals, military troops are gathered together.	2
Incorrect	A man in an apron sits at a table in front of a restaurant, while another man crosses the street with a purple gift bag and rolling luggage.	Two men pull luggage across the street, while wearing aprons.	2	There are two men, one crosses the street with a purple gift bag and rolling luggage, the other is in an apron sits at a table in front of a restaurant	2
Incorrect	A bride wearing her bridal gown is taking pictures with her colorful wedding bouquet in front of cows.	A bride is taking pictures at a barn.	0	A bride wearing her bridal gown is feeding some cows while taking pictures with her colorful wedding bouquet.	0
Incorrect	Woman driving in a red convertible with another girl in the passenger seat and a guy in a suit in the backseat, driving past a group of people.	The convertible splashed through a puddle of water that soaked the other group of people.	1	Woman sitting in a red convertible with another girl in the passenger seat and a guy in a suit in the backseat, parked a group of people.	2
Incorrect	A man in a gray sweatshirt and blue jeans is pulling on a rope while a guy in a white shirt and black jeans watches him.	the two men were pulling on the rope	2	A man in a gray sweatshirt and blue jeans is pulling on a rope while a guy in a white shirt and black jeans neglects him.	2
Incorrect	At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.	A crowd is in front of a camera	1	At an outdoor event in an Asian-themed area, a crowd congregates with one person in a yellow Chinese dragon costume confronting the camera.	1
Incorrect	There is a woman here in a children's room, wearing a red vest, with her hand in a fake sharks mouth.	The woman is demonstrating a shark bite.	1	Wearing a red vest, with her hand in a fake sharks mouth, there is a woman here in a children's room.	1
Incorrect	A man in a bar drinks from a pitcher while a man in a green hat looks on and a woman in a black shirt drink from a glass.	The women is drinking water.	1	A man in a on a hot summer day drinks from a pitcher of water while a man in a green hat looks on and a woman in a black shirt drink from a glass.	1
Incorrect	A male hiker wearing a brown hat is standing next to a triangular monument on the top of a mountain.	A man exercises outdoors.	1	On the top of a mountain, a male hiker wearing a brown hat is sitting next to a triangular monument.	1
Incorrect	Very young boy standing in front of a bride and groom, wearing a suit and holding a ring-bearer's pillow.	A funny standing	2	Wearing a suit and holding a ring-bearer's pillow, a very young boy grins in front of a bride and groom.	1
Incorrect	A man drives a motorcycle, with a woman in an orange sari and a young girl in a blue dress riding in the backseat.	A woman in an orange sari is a passenger on a motor cycle.	0	A woman in an orange sari and a young girl in a blue dress enjoying the backseat as a man drives the motorcycle.	0
Incorrect	A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal.	a girl wants to score a goal	0	A girl in a green jersey top and blue shorts runs to kick the soccer ball towards the net.	0
Incorrect	A woman with blond-hair and blue boots walks among a crowd of other pedestrians on a city street, looking up at something.	A woman is watching a plane fly overhead.	1	A woman with blond-hair and blue boots walks among a crowd of animals in the country, looking up at something.	1
Incorrect	Four people, One male in a blue shirt and slacks with three females, one in pink, one in blue, and the other with a white shirt and blue blouse, in line to enter a yellow school bus, while a female in pink hold paper is on the phone.	Four people, One male in a blue shirt and slacks with three females, one in pink, one in blue, and the other with a blue shirt and blue blouse, in line to enter a yellow school bus, while a female in pink hold paper is on the phone.	2	One female in a pink hold paper is on the phone, there are three females and one male, one with a white shirt and blue blouse, one in blue, one in pink, and the last one is wearing a blue shirt with slacks, they in line to enter a yellow school bus.	2
Incorrect	Four men are playing soccer, two in white jerseys, one in a red jersey and a goalie in the background.	Two opposing teams that are playing soccer have colorful jerseys.	0	Three men are playing soccer, two in white jerseys, one in a red jersey.	2
Incorrect	Two young girls have fun on a trampoline, one of which appears to be falling down onto her back while the other poses with a smile behind her.	Two young girls have fun on a trampoline, one of which appears to be falling down onto her back while the other poses with a smile behind her and waving.	1	Two young girls bounce on a trampoline both are waving, one of which appears to be falling down onto her back while the other poses for a photo.	1
Incorrect	Several people mill around a sidewalk in front of a building looking as police put up crime scene tape.	Several people saw a crime committed.	1	As police put up crime scene tape, Several people run on a sidewalk in front of a building.	1
Incorrect	A group of 5 girls in school uniforms are standing together and waiting to cross the street while one girl takes a picture.	The girls' uniforms are solid white.	1	A group of 5 girls in school uniforms are standing together and waiting to cross the street while one falls into mud, staining her clean uniform.	1
Incorrect	A man wearing blue jeans and a black shirt is talking to a man wearing white shorts while they are sitting outside in folding chairs on a patio.	the woman is white	2	A man wearing a white shirt and white pants is meeting a man wearing white shorts while they are sitting outside in white folding chairs on a white brick patio.	2
Incorrect	A group of people are standing in front of parked bicycles on a corner with various carrying bags on the ground.	The group of people are sitting around having a picnic.	1	A group of people are sitting on the ground on a mat in front of parked bicycles on a corner with various bags of groceries.	1
Incorrect	Two professional soccer players compete in a stadium on AstroTurf during a soccer match, and one player is controlling the ball while the other is running after him trying to defend it.	The defending player is doing his best to prevent the offensive player from scoring a goal.	0	Two professional soccer players compete in a stadium on AstroTurf during a soccer match, one player runs after the ball and kicks it away from the net, while the other gains control of the ball and runs towards the net.	0
Incorrect	A colorful array of motorcyclists gathered outdoors, with Joshua trees in the background and a pair of motorcyclists on a cherry-red cycle in the foreground.	A biker gang riding through the streets.	1	A colorful array of motorcyclists gathered for a picture moving into place, with Joshua trees in the background and a pair of motorcyclists on a cherry-red cycle in the foreground.	1
Correct	A girl is working on some sort of lab experiment while another girl watches with a bored expression.	A girl is working on a lab experiment.	0	A girl is setting up some sort of lab experiment while another girl watches with a bored expression.	0
Correct	A smiling young man is standing indoors with his left foot on a blue-wheeled child's scooter and his right foot on a yellow-wheeled child's scooter.	A young man is standing on two scooters.	0	A smiling young man is indoors with his left foot on a blue-wheeled child's scooter and his right foot on a yellow-wheeled child's scooter.	0
Correct	This young man is wearing blue jeans and a cowboy hat, and is walking away from a calf that is currently roped within an arena.	A person in jeans	0	This young man is wearing a cowboy hat, and his jeans get caught as he is walking away from a calf that is currently roped within an arena.	0
Correct	A man with a beard, curly hair and a beard wearing a green shirt and navy blue jacket standing still looking through his red sunglasses.	A man has a walking stick.	1	A old man with a grey beard, curly hair and a beard wearing a green shirt and navy blue jacket walking slowly.	1
Correct	Four construction workers, wearing neon vests, stand at a construction site along with some equipment.	The construction workers are at work.	0	Four construction workers, wearing neon vests, rest at a construction site along with some equipment.	0
Correct	Several people are walking on a street and there is a large, blue crane towering and leaning against a building.	Several people are sitting on the grass, watching a crane move heavy blocks.	2	Several people are in a park and there is a large, blue crane towering and assembling a building.	1
Correct	A little girl with a hat sits between a woman's feet in the sand in front of a pair of colorful tents.	The girl is wearing a hat.	0	A little girl sits between a man's feet in the sand in front of a pair of colorful tents, a cap is not missing from her head.	0
Correct	A bearded man in a light blue shirt peers through a magnifier to work on something that rests on a white paper box.	a man peers through a magnifier	0	A bearded person in a light blue shirt peers through a magnifier to work on something that rests on a white paper box.	1
Correct	A small boy purchases vegetables from an older man.	A boy buys tomatoes and broccoli from a man.	1	A small boy purchases an assortment of fruits and vegetables from an older man, the boy needs ingrediants to make homemade spagetti sauce and broccoli cheddar soup.	0
Correct	A girl in green is running behind a boy in red in a sports arena whilst a girl in pink is running in the background.	Some kids are running in an arena.	0	A girl in green is chasing a boy in red in a sports tournament whilst a girl in pink is running in the background.	1
Correct	Several people, including a boy in a striped shirt walk on a concrete path away from a body of water.	People walking away from the water.	0	Several people who went fishing in a lake, including a boy in a striped shirt walk on a concrete path home.	0
Correct	As a referee looks on, a Los Angeles baseball player is falling over the top of a rival player who is just sliding into base.	People are playing baseball.	0	A Los Angeles baseball player is falling over the top of a rival player who failed to slide into base.	0
Correct	A young boy, wearing a helmet, in shorts and a t-shirt and a pair of binoculars around his neck is playing outside.	A boy is outside.	0	A young boy, wearing a helmet, in shorts and a t-shirt and a pair of binoculars around his neck is playing in the trees in the neighborhood park.	0
Correct	A schoolgirl wearing a white dress, blue-striped knee socks, a blue tie, and braids, smiles in front of a line of her classmates.	A smiling schoolgirl leads the her line of classmates.	0	A schoolgirl wearing a white dress, blue-striped knee socks, a blue tie, and braids, smiles trails ahead of her classmates who are in a single file line.	0
Correct	A man in a brown jacket, white shirt, and dark slacks is holding a book with his finger on the page while sitting on a wooden floor, and leaning against a yellow wall with a door on one side and cloths on hangers on the other side.	A man sits on a wooden floor building a model ship.	2	A man in a brown jacket, white shirt, and dark slacks is holding a manual with his finger on the page while sitting on a wooden floor, and leaning against a yellow wall with a door on one side and cloths on hangers on the other side.	1
Correct	A young man and a young women in white lab coats are reading a biology textbook together and looking at a microscope in a laboratory.	Two students are creating a deadly bomb in order to destroy an entire country.	2	A young man and a young women in white lab coats are reading a biology textbook together and looking at a dangerous chemicals in a laboratory.	2
Correct	Three girls are standing together in a room, one is listening, one is writing on a wall and the third is talking to them.	The girls are outdoors.	2	Three girls are standing together, one is listening, one is writing on a wall and the third is talking to them.	2
Correct	A group of friends stand around at night while one in a brown coat blows bubbles from a blue container.	A group of friends are standing around together.	0	At night, a group of friends who cannot sit down talk while one in a brown coat blows bubbles from a blue container.	0
Correct	Two men sitting on horses one wearing a cowboy hat, the other in a baseball cap, with a big tree behind them.	Two men are on horses.	0	Two men, one wearing a cowboy hat, the other in a baseball cap, find a pair of horses and ride them.	0
Correct	A male soccer player has his foot extended as if he has just kicked the soccer ball while the ball flies through the air.	The man has kicked the soccer ball towards the goal.	1	A male soccer player has his foot extended while the ball flies through the air.	1
Correct	A topless man with tattoos, black pants, and black boots is standing on a platform in front of a mirror.	the man is lying on the roof	2	A topless man with tattoos, black pants, and black boots is relaxing ontop of a platform outside.	1
Correct	There is a woman here in a children's room, wearing a red vest, with her hand in a fake sharks mouth.	The children's room is empty.	2	There is a woman here in a children's room, there are no toys.	2
Correct	There are four US military soldiers in this photo, only two have their faces in the picture, there is a pack of cigarettes by one of their boots, they appear to be fixing a motorcycle.	The brand of cigarettes is Marlboro.	1	There are four US military soldiers in this photo, only two have their faces in the picture, there are 7 packs of cigarettes of various brands in the picture, Marlboro is not missing from the picture.	0
Correct	A man and woman in a dark room with lights behind them holding drinks while a bright green light shines in their faces.	A man and woman are married	1	A man and woman in a dark room with lights behind them holding drinks while a bright green light shines in their faces, each of them have a ring on their finger.	0
Correct	Three women wearing belly dancing costumes are pictured in color while the background of the shot is in black and white.	three women wear belly dancing costumes	0	Three women who belly dancing are pictured in color while the background of the shot is in black and white, the women are wearing appropriate attire to belly dance.	0