Original premise	hypothesis	label	premise
Two women are embracing while holding to go packages.	The sisters are hugging goodbye while holding to go packages after just eating lunch.	1	Two women are embracing while holding to go packages, but they will also be going to do something after that together.
Two women are embracing while holding to go packages.	Two woman are holding packages.	0	Two women are embracing while holding to go packages, but they will also be going to do something after that together.
Two women are embracing while holding to go packages.	The men are fighting outside a deli.	2	Two women are embracing while holding to go packages, but they will also be going to do something after that together.
Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.	Two kids in numbered jerseys wash their hands.	0	Two young children of age 12 and 13 in black jerseys, wearing the number 6, are standing on wooden steps in a bathroom and washing their hands in a bowl.
Two young children in blue jerseys, one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink.	Two kids in jackets walk to school.	2	Two kids in red Lebron jerseys, wearing the number 6, are standing on wooden steps in a bathroom and washing their hands in a bowl.
A man selling donuts to a customer during a world exhibition event held in the city of Angeles	A woman drinks her coffee in a small cafe.	2	Two kids are wearing number 11 jerseys are washing their hands in a bowl, while watching a sports game.
A man selling donuts to a customer during a world exhibition event held in the city of Angeles	A man selling donuts to a customer during a world exhibition event while people wait in line behind him.	1	A man is selling donuts to somebody during an anime convention
A man selling donuts to a customer during a world exhibition event held in the city of Angeles	A man selling donuts to a customer.	0	A man is selling donuts to during an NFL game in Florida
Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.	boys play football	0	Two young boys of opposing teams play flag football, and they will play Overwatch after.
Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.	dog eats out of bowl	2	Two young boys of opposing teams play flag football, and they will play Overwatch after.
Two young boys of opposing teams play football, while wearing full protection uniforms and helmets.	boys scoring a touchdown	1	Two young boys of opposing teams play flag football, and they will play Overwatch after.
A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.	A man is repainting a garage	1	A man in a blue shirt is standing in front of a garage door
A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.	A man is wearing a blue shirt	0	A man in a blue shirt is standing in front of a garage door
A man in a blue shirt standing in front of a garage-like structure painted with geometric designs.	A man is wearing a black shirt	2	A man in a blue shirt is standing in front of a garage door
Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.	A child is reaching to touch the propeller of a plane.	0	Under a beautiful sky, a child touches a plane propeller on the runway
Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.	A child is reaching to touch the propeller out of curiosity.	1	Under a beautiful sky, a child touches a plane propeller on the runway
Under a blue sky with white clouds, a child reaches up to touch the propeller of a plane standing parked on a field of grass.	A child is playing with a ball.	2	Under a beautiful sky, a child touches a plane propeller on the runway
A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.	A woman is doing a cartwheel.	0	A woman does a cartwheel on the beach in her swimsuit.
A woman is doing a cartwheel while wearing a bikini in the sand next to the beach.	A woman is fixing her home.	2	A woman does a cartwheel on the beach in her swimsuit.
Two men on bicycles competing in a race.	People are riding bikes.	0	Two male bicyclists race each other
Two men on bicycles competing in a race.	Men are riding bicycles on the street.	1	Two male bicyclists race each other
Two men on bicycles competing in a race.	A few people are catching fish.	2	Two male bicyclists race each other
A young boy in a field of flowers carrying a ball	boy leaving baseball game	1	A young boy is standing in a massive field of tulips. He clutches his football in his right hand.
A young boy in a field of flowers carrying a ball	boy in field	0	A young boy is standing in a massive field of tulips. He clutches his football in his right hand.
A young boy in a field of flowers carrying a ball	dog in pool	2	A young boy is standing in a massive field of tulips. He clutches his football in his right hand.
Families waiting in line at an amusement park for their turn to ride.	The restaurant is very bad.	2	A group of families waits in line at the Universal Studios amusement park to ride the Jurassic Park ride.
Families waiting in line at an amusement park for their turn to ride.	People are waiting in line at a restaurant.	2	A group of families waits in line at the Universal Studios amusement park to ride the Jurassic Park ride.
A senior is waiting at the window of a restaurant that serves sandwiches.	A person waits to be served his food.	0	A senior citizen waits at the restaraunt window for his sandwich.
A senior is waiting at the window of a restaurant that serves sandwiches.	A man is waiting in line for the bus.	2	A senior citizen waits at the restaraunt window for his sandwich.
A senior is waiting at the window of a restaurant that serves sandwiches.	A man is looking to order a grilled cheese sandwich.	1	A senior citizen waits at the restaraunt window for his sandwich.
Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.	A person in a suit	0	Man in a black suit, white shirt and black bowtie plays an instrument with his symphony.
Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.	Nobody has a suit	2	Man in a black suit, white shirt and black bowtie plays an instrument with his symphony.
Man in a black suit, white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him.	A tall person in a suit	1	Man in a black suit, white shirt and black bowtie plays an instrument with his symphony.
Two women having drinks and smoking cigarettes at the bar.	Two women are at a bar.	0	Two women sit at a bar. They smoke cigarettes while drinking. The bartender is also there.
Two women having drinks and smoking cigarettes at the bar.	Three women are at a bar.	2	Two women sit at a bar. They smoke cigarettes while drinking. The bartender is also there.
Two women having drinks and smoking cigarettes at the bar.	Women are celebrating at a bar.	1	Two women sit at a bar. They smoke cigarettes while drinking. The bartender is also there.
At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.	A single man is next to a camera	2	At an outdoor event, a crowd congregates as somebody confronts the camera.
At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.	A crowd is dancing	1	At an outdoor event, a crowd congregates as somebody confronts the camera.
Two doctors perform surgery on patient.	Two surgeons are having lunch.	2	A patient did not feel well, and requires surgey to fix his ailment. Two doctors work meticulously to perform surgery on their patient.
Two doctors perform surgery on patient.	Doctors are performing surgery.	0	A patient did not feel well, and requires surgey to fix his ailment. Two doctors work meticulously to perform surgery on their patient.
Two doctors perform surgery on patient.	Two doctors are performing surgery on a man.	1	A patient did not feel well, and requires surgey to fix his ailment. Two doctors work meticulously to perform surgery on their patient.
A white dog with long hair jumps to catch a red and green toy.	A white dog with long hair is swimming underwater.	2	A white dog with long hair plays with a toy. The owner throws the toy into the air for the dog to catch it, and it does.
A white dog with long hair jumps to catch a red and green toy.	An animal is jumping to catch an object.	0	A white dog with long hair plays with a toy. The owner throws the toy into the air for the dog to catch it, and it does.
A white dog with long hair jumps to catch a red and green toy.	A white chihuahua mix with long curly hair is jumping to catch a red and green toy bone.	1	A white dog with long hair plays with a toy. The owner throws the toy into the air for the dog to catch it, and it does.
Kids are on a amusement ride.	Kids ride their favorite amusement ride.	1	The wait is finally over. The kids are riding the scary roller coaster at the amusement park.
Kids are on a amusement ride.	A car is broke down on the side of the road.	2	The wait is finally over. The kids are riding the scary roller coaster at the amusement park.
Kids are on a amusement ride.	Kids ride an amusement ride.	0	The wait is finally over. The kids are riding the scary roller coaster at the amusement park.
A man in a black shirt is playing golf outside.	A man plays on a golf course to relax.	1	A HIspanic man is playing golf with his childhood friends at the country club. They are having a great time.